NAME,c_tenants,c_renters,c_rentcash,c_rent100,c_rent149,c_rent199,c_rent249,c_rent299,c_rent349,c_rent399,c_rent449,c_rent499,c_rent549,c_rent599,c_rent649,c_rent699,c_rent749,c_rent799,c_rent899,c_rent999,c_rent1249,c_rent1499,c_rent1999,c_rent2000,med_rent,med_hhinc,state_fips,county_fips,tract_fips,year,FIPS_11_digit
"Census Tract 4012, Alameda County, California",1245,701,663,0,30,0,0,18,0,0,0,0,0,0,7,0,0,20,64,100,92,209,104,19,1251.0,62064.0,06,001,401200,2013,06001401200
"Census Tract 4013, Alameda County, California",1743,1530,1489,0,16,16,82,46,13,17,22,0,66,78,70,36,28,34,174,171,284,87,196,53,927.0,35030.0,06,001,401300,2013,06001401300
"Census Tract 4014, Alameda County, California",1447,1173,1155,0,48,0,29,35,19,8,0,0,0,19,57,71,49,97,174,105,257,90,47,50,884.0,28264.0,06,001,401400,2013,06001401400
"Census Tract 4015, Alameda County, California",992,543,527,0,18,0,23,11,0,0,45,9,51,0,37,60,27,96,0,5,20,45,47,33,718.0,38684.0,06,001,401500,2013,06001401500
"Census Tract 4016, Alameda County, California",707,567,563,0,0,20,6,0,0,15,15,0,0,0,18,22,51,28,3,33,201,28,78,45,1088.0,32663.0,06,001,401600,2013,06001401600
"Census Tract 4017, Alameda County, California",1083,685,685,8,0,0,29,29,0,0,0,0,0,0,19,0,83,29,86,0,101,42,198,61,1147.0,63052.0,06,001,401700,2013,06001401700
"Census Tract 4018, Alameda County, California",725,606,589,0,12,0,10,10,3,36,0,8,5,10,31,21,60,28,92,54,61,27,99,22,866.0,30449.0,06,001,401800,2013,06001401800
"Census Tract 4022, Alameda County, California",940,657,587,5,0,5,10,40,21,9,0,6,12,6,0,0,35,37,65,39,71,51,145,30,1012.0,36600.0,06,001,402200,2013,06001402200
"Census Tract 4024, Alameda County, California",1101,962,952,0,0,4,98,53,30,17,54,18,5,44,10,0,87,15,97,87,176,4,153,0,842.0,24818.0,06,001,402400,2013,06001402400
"Census Tract 4025, Alameda County, California",750,610,610,80,50,16,13,73,46,15,7,11,0,22,0,11,6,0,11,42,97,78,0,32,473.0,21974.0,06,001,402500,2013,06001402500
"Census Tract 4026, Alameda County, California",587,485,454,19,0,23,69,31,6,16,17,7,0,0,13,0,9,49,96,33,53,0,13,0,767.0,21250.0,06,001,402600,2013,06001402600
"Census Tract 4027, Alameda County, California",651,457,457,6,4,0,19,0,13,32,13,0,7,0,21,18,8,28,18,53,75,31,93,18,978.0,22875.0,06,001,402700,2013,06001402700
"Census Tract 4028, Alameda County, California",1882,1712,1704,14,0,17,59,219,36,31,103,154,68,54,7,81,42,94,70,61,89,131,285,89,711.0,19896.0,06,001,402800,2013,06001402800
"Census Tract 4029, Alameda County, California",784,784,767,0,0,15,29,80,26,13,37,19,0,32,49,12,31,55,75,86,162,46,0,0,787.0,23302.0,06,001,402900,2013,06001402900
"Census Tract 4030, Alameda County, California",1336,1058,994,0,0,0,264,94,39,41,85,56,51,0,10,33,22,8,17,18,91,63,87,15,435.0,16680.0,06,001,403000,2013,06001403000
"Census Tract 4031, Alameda County, California",625,434,419,0,0,0,5,34,40,17,27,5,27,5,15,5,13,0,42,17,0,21,55,91,839.0,55568.0,06,001,403100,2013,06001403100
"Census Tract 4033, Alameda County, California",2140,1617,1577,0,0,13,28,78,0,0,28,39,0,0,53,117,12,25,60,77,155,204,405,283,1377.0,55524.0,06,001,403300,2013,06001403300
"Census Tract 4034, Alameda County, California",2845,2538,2448,15,15,0,25,131,0,23,27,0,63,47,19,104,178,95,143,354,736,159,133,181,996.0,36153.0,06,001,403400,2013,06001403400
"Census Tract 4035.01, Alameda County, California",2342,2024,2007,0,0,0,120,140,17,0,46,23,15,0,50,81,24,101,104,404,297,173,232,180,970.0,41968.0,06,001,403501,2013,06001403501
"Census Tract 4035.02, Alameda County, California",1200,824,813,0,0,0,0,0,0,0,0,0,8,0,0,14,0,16,84,110,282,160,120,19,1155.0,63375.0,06,001,403502,2013,06001403502
"Census Tract 4036, Alameda County, California",2482,2048,2032,0,0,0,17,0,0,45,0,16,0,0,0,0,67,28,112,226,706,445,328,42,1179.0,62075.0,06,001,403600,2013,06001403600
"Census Tract 4037.01, Alameda County, California",1712,1576,1566,0,0,0,0,0,0,0,32,0,0,23,0,13,0,39,46,372,602,211,202,26,1107.0,57819.0,06,001,403701,2013,06001403701
"Census Tract 4037.02, Alameda County, California",1131,840,830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,81,0,190,142,358,40,1470.0,74479.0,06,001,403702,2013,06001403702
"Census Tract 4038, Alameda County, California",1803,1179,1145,0,0,0,0,11,0,0,0,0,11,19,0,0,7,19,73,99,273,197,306,130,1327.0,76875.0,06,001,403800,2013,06001403800
"Census Tract 4039, Alameda County, California",2253,1514,1494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,92,184,469,289,205,226,1236.0,62813.0,06,001,403900,2013,06001403900
