Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,ACS17_5yr_B01003001,ACS17_5yr_B01003001s
"01","04000US01","Alabama","Alabama","al","040","00","ACSSF","0000001",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4850771,0
"02","04000US02","Alaska","Alaska","ak","040","00","ACSSF","0000001",,,,,"02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,738565,0
"04","04000US04","Arizona","Arizona","az","040","00","ACSSF","0000001",,,,,"04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6809946,0
"05","04000US05","Arkansas","Arkansas","ar","040","00","ACSSF","0000001",,,,,"05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2977944,0
"06","04000US06","California","California","ca","040","00","ACSSF","0000001",,,,,"06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38982847,0
"08","04000US08","Colorado","Colorado","co","040","00","ACSSF","0000001",,,,,"08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5436519,0
"09","04000US09","Connecticut","Connecticut","ct","040","00","ACSSF","0000001",,,,,"09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3594478,0
"10","04000US10","Delaware","Delaware","de","040","00","ACSSF","0000001",,,,,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,943732,0
"11","04000US11","District of Columbia","District of Columbia","dc","040","00","ACSSF","0000001",,,,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,672391,0
"12","04000US12","Florida","Florida","fl","040","00","ACSSF","0000001",,,,,"12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20278447,0
"13","04000US13","Georgia","Georgia","ga","040","00","ACSSF","0000001",,,,,"13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10201635,0
"15","04000US15","Hawaii","Hawaii","hi","040","00","ACSSF","0000001",,,,,"15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1421658,0
"16","04000US16","Idaho","Idaho","id","040","00","ACSSF","0000001",,,,,"16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1657375,0
"17","04000US17","Illinois","Illinois","il","040","00","ACSSF","0000001",,,,,"17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12854526,0
"18","04000US18","Indiana","Indiana","in","040","00","ACSSF","0000001",,,,,"18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6614418,0
"19","04000US19","Iowa","Iowa","ia","040","00","ACSSF","0000001",,,,,"19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3118102,0
"20","04000US20","Kansas","Kansas","ks","040","00","ACSSF","0000001",,,,,"20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2903820,0
"21","04000US21","Kentucky","Kentucky","ky","040","00","ACSSF","0000001",,,,,"21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4424376,0
"22","04000US22","Louisiana","Louisiana","la","040","00","ACSSF","0000001",,,,,"22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4663461,0
"23","04000US23","Maine","Maine","me","040","00","ACSSF","0000001",,,,,"23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1330158,0
"24","04000US24","Maryland","Maryland","md","040","00","ACSSF","0000001",,,,,"24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5996079,0
"25","04000US25","Massachusetts","Massachusetts","ma","040","00","ACSSF","0000001",,,,,"25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6789319,0
"26","04000US26","Michigan","Michigan","mi","040","00","ACSSF","0000001",,,,,"26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9925568,0
"27","04000US27","Minnesota","Minnesota","mn","040","00","ACSSF","0000001",,,,,"27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5490726,0
"28","04000US28","Mississippi","Mississippi","ms","040","00","ACSSF","0000001",,,,,"28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2986220,0
"29","04000US29","Missouri","Missouri","mo","040","00","ACSSF","0000001",,,,,"29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6075300,0
"30","04000US30","Montana","Montana","mt","040","00","ACSSF","0000001",,,,,"30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1029862,0
"31","04000US31","Nebraska","Nebraska","ne","040","00","ACSSF","0000001",,,,,"31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1893921,0
"32","04000US32","Nevada","Nevada","nv","040","00","ACSSF","0000001",,,,,"32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2887725,0
"33","04000US33","New Hampshire","New Hampshire","nh","040","00","ACSSF","0000001",,,,,"33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1331848,0
"34","04000US34","New Jersey","New Jersey","nj","040","00","ACSSF","0000001",,,,,"34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8960161,0
"35","04000US35","New Mexico","New Mexico","nm","040","00","ACSSF","0000001",,,,,"35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2084828,0
"36","04000US36","New York","New York","ny","040","00","ACSSF","0000001",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19798228,0
"37","04000US37","North Carolina","North Carolina","nc","040","00","ACSSF","0000001",,,,,"37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10052564,0
"38","04000US38","North Dakota","North Dakota","nd","040","00","ACSSF","0000001",,,,,"38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,745475,0
"39","04000US39","Ohio","Ohio","oh","040","00","ACSSF","0000001",,,,,"39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11609756,0
"40","04000US40","Oklahoma","Oklahoma","ok","040","00","ACSSF","0000001",,,,,"40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3896251,0
"41","04000US41","Oregon","Oregon","or","040","00","ACSSF","0000001",,,,,"41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4025127,0
"42","04000US42","Pennsylvania","Pennsylvania","pa","040","00","ACSSF","0000001",,,,,"42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12790505,0
"44","04000US44","Rhode Island","Rhode Island","ri","040","00","ACSSF","0000001",,,,,"44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1056138,0
"45","04000US45","South Carolina","South Carolina","sc","040","00","ACSSF","0000001",,,,,"45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4893444,0
"46","04000US46","South Dakota","South Dakota","sd","040","00","ACSSF","0000001",,,,,"46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,855444,0
"47","04000US47","Tennessee","Tennessee","tn","040","00","ACSSF","0000001",,,,,"47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6597381,0
"48","04000US48","Texas","Texas","tx","040","00","ACSSF","0000001",,,,,"48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27419612,0
"49","04000US49","Utah","Utah","ut","040","00","ACSSF","0000001",,,,,"49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2993941,0
"50","04000US50","Vermont","Vermont","vt","040","00","ACSSF","0000001",,,,,"50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,624636,0
"51","04000US51","Virginia","Virginia","va","040","00","ACSSF","0000001",,,,,"51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8365952,0
"53","04000US53","Washington","Washington","wa","040","00","ACSSF","0000001",,,,,"53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7169967,0
"54","04000US54","West Virginia","West Virginia","wv","040","00","ACSSF","0000001",,,,,"54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1836843,0
"55","04000US55","Wisconsin","Wisconsin","wi","040","00","ACSSF","0000001",,,,,"55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5763217,0
"56","04000US56","Wyoming","Wyoming","wy","040","00","ACSSF","0000001",,,,,"56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,583200,0
"72","04000US72","Puerto Rico","Puerto Rico","pr","040","00","ACSSF","0000001",,,,,"72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3468963,0
