NAME,c_income,c_less10k,c_10_14999,c_15_24999,c_25_34999,c_35_49999,c_50_74999,c_75_99999,c_100_149,c_150_199,c_200more,c_income_moe,c_less10k_moe,c_10_14999_moe,c_15_24999_moe,c_25_34999_moe,c_35_49999_moe,c_50_74999_moe,c_75_99999_moe,c_100_149_moe,c_150_199_moe,c_200more_moe,state_fips,county_fips,tract_fips,year,FIPS_11_digit
"Census Tract 8.02, Merced County, California",1331,3.0,11.0,8.0,9.0,10.0,22.0,13.0,9.0,8.0,3.0,91,2.0,7.0,4.0,4.0,5.0,7.0,5.0,4.0,5.0,2.0,06,047,000802,2018,06047000802
"Census Tract 9.01, Merced County, California",931,3.0,1.0,9.0,11.0,17.0,15.0,10.0,15.0,4.0,12.0,86,2.0,1.0,5.0,4.0,7.0,6.0,6.0,8.0,3.0,8.0,06,047,000901,2018,06047000901
"Census Tract 9.02, Merced County, California",2684,4.0,9.0,5.0,10.0,11.0,20.0,16.0,11.0,5.0,6.0,149,3.0,5.0,3.0,4.0,5.0,7.0,5.0,5.0,3.0,4.0,06,047,000902,2018,06047000902
"Census Tract 12, Merced County, California",1837,2.0,3.0,9.0,6.0,18.0,22.0,11.0,11.0,8.0,6.0,99,2.0,2.0,4.0,2.0,5.0,6.0,4.0,4.0,3.0,2.0,06,047,001200,2018,06047001200
"Census Tract 14.01, Merced County, California",1482,11.0,7.0,10.0,13.0,24.0,11.0,11.0,5.0,3.0,1.0,69,4.0,4.0,4.0,6.0,7.0,6.0,5.0,3.0,3.0,1.0,06,047,001401,2018,06047001401
"Census Tract 15.02, Merced County, California",728,7.0,7.0,19.0,29.0,10.0,16.0,8.0,1.0,0.0,0.0,53,4.0,5.0,8.0,9.0,5.0,5.0,6.0,2.0,4.0,4.0,06,047,001502,2018,06047001502
"Census Tract 21, Merced County, California",1266,2.0,6.0,10.0,7.0,17.0,25.0,10.0,14.0,4.0,1.0,125,1.0,5.0,6.0,4.0,8.0,10.0,4.0,5.0,3.0,1.0,06,047,002100,2018,06047002100
"Census Tract 16.02, Merced County, California",1687,5.0,9.0,10.0,14.0,16.0,16.0,15.0,9.0,2.0,1.0,98,3.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,2.0,1.0,06,047,001602,2018,06047001602
"Census Tract 19.02, Merced County, California",750,4.0,10.0,11.0,6.0,20.0,14.0,11.0,16.0,2.0,1.0,54,2.0,4.0,3.0,3.0,5.0,4.0,3.0,5.0,1.0,1.0,06,047,001902,2018,06047001902
"Census Tract 23.01, Merced County, California",2167,6.0,5.0,2.0,8.0,11.0,13.0,12.0,18.0,18.0,4.0,110,4.0,4.0,2.0,5.0,5.0,4.0,5.0,6.0,8.0,2.0,06,047,002301,2018,06047002301
"Census Tract 23.02, Merced County, California",3974,5.0,4.0,8.0,11.0,12.0,16.0,19.0,15.0,4.0,2.0,185,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,2.0,1.0,06,047,002302,2018,06047002302
