NAME,c_tenants,c_renters,c_rentcash,c_rent100,c_rent149,c_rent199,c_rent249,c_rent299,c_rent349,c_rent399,c_rent449,c_rent499,c_rent549,c_rent599,c_rent649,c_rent699,c_rent749,c_rent799,c_rent899,c_rent999,c_rent1249,c_rent1499,c_rent1999,c_rent2499,c_rent2999,c_rent3499,c_rent3500,med_rent,med_hhinc,year,state_fips,county_fips,tract_fips,FIPS_11_digit
"Census Tract 8.02, Merced County, California",1331,420,405,0,0,0,20,0,0,0,0,0,8,0,0,11,25,0,31,36,83,49,131,0,0,0,11,1215.0,59153.0,2018,06,047,000802,06047000802
"Census Tract 9.01, Merced County, California",931,464,314,0,0,0,29,0,0,7,5,0,14,12,35,11,31,29,50,7,45,31,8,0,0,0,0,772.0,57462.0,2018,06,047,000901,06047000901
"Census Tract 15.02, Merced County, California",728,503,474,0,0,0,0,0,49,22,0,2,23,68,25,82,29,21,69,0,35,32,17,0,0,0,0,679.0,31346.0,2018,06,047,001502,06047001502
"Census Tract 9.02, Merced County, California",2684,916,892,0,0,0,0,0,0,0,34,0,39,0,46,61,48,85,31,67,338,35,50,58,0,0,0,1026.0,59781.0,2018,06,047,000902,06047000902
"Census Tract 12, Merced County, California",1837,712,641,0,0,0,0,0,0,0,0,9,0,20,0,0,20,33,48,73,155,200,73,0,0,10,0,1190.0,59984.0,2018,06,047,001200,06047001200
"Census Tract 14.01, Merced County, California",1482,929,854,0,0,0,0,0,24,0,14,0,47,40,35,65,34,27,127,166,177,18,80,0,0,0,0,908.0,39879.0,2018,06,047,001401,06047001401
"Census Tract 21, Merced County, California",1266,529,404,0,0,0,0,0,0,12,0,43,33,0,0,17,10,56,12,117,68,24,0,0,12,0,0,916.0,53058.0,2018,06,047,002100,06047002100
"Census Tract 16.02, Merced County, California",1687,899,874,0,0,13,0,0,0,15,5,29,0,15,16,25,22,21,88,47,343,150,85,0,0,0,0,1103.0,45542.0,2018,06,047,001602,06047001602
"Census Tract 19.02, Merced County, California",750,232,180,0,3,8,5,0,0,0,3,10,17,4,0,15,0,10,10,39,49,7,0,0,0,0,0,913.0,48264.0,2018,06,047,001902,06047001902
"Census Tract 23.01, Merced County, California",2167,532,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,48,49,111,222,51,0,0,0,1563.0,82432.0,2018,06,047,002301,06047002301
"Census Tract 23.02, Merced County, California",3974,1677,1622,0,0,0,0,0,20,39,0,34,0,0,36,32,128,37,117,124,331,336,360,28,0,0,0,1184.0,59415.0,2018,06,047,002302,06047002302
"Census Tract 19.01, Merced County, California",1553,700,628,0,0,0,4,16,0,28,21,32,20,43,47,71,60,33,89,53,47,42,22,0,0,0,0,727.0,40039.0,2018,06,047,001901,06047001901
"Census Tract 13.02, Merced County, California",1103,925,914,0,0,0,0,27,8,0,9,52,25,136,101,20,55,110,92,81,111,37,42,8,0,0,0,761.0,25615.0,2018,06,047,001302,06047001302
