,NAME,c_race,c_white,c_black,c_asian,c_latinx,state_fips,county_fips,tract_fips,med_rent,med_hhinc,c_tenants,c_owners,c_renters,c_movers,c_stay,c_movelocal,c_movecounty,c_movestate,c_moveabroad,c_commute,c_car,c_carpool,c_transit,c_bike,c_walk,year,FIPS_11_digit,p_white,p_black,p_asian,p_latinx,p_owners,p_renters,p_stay,p_movelocal,p_movecounty,p_movestate,p_moveabroad,p_car,p_carpool,p_transit,p_bike,p_walk
8251,"Census Tract 156, San Francisco County, California",3432,1585,71,1116,436,6,75,15600,1798.0,95000.0,1450,392,1058,3383,2710,266,166,156,85,1773,637,198,482,65,178,2018,06075015600,0.4618298368298368,0.020687645687645688,0.3251748251748252,0.12703962703962704,0.2703448275862069,0.7296551724137931,0.8010641442506651,0.07862843629914278,0.049068873780668036,0.046112917528820574,0.02512562814070352,0.359278059785674,0.1116751269035533,0.2718556119571348,0.036661026508742235,0.10039481105470953
8252,"Census Tract 102, San Francisco County, California",4299,3364,60,574,146,6,75,10200,2449.0,134176.0,2541,909,1632,4241,3423,383,121,187,127,2841,739,127,888,101,507,2018,06075010200,0.7825075598976506,0.013956734124214934,0.1335194231216562,0.033961386368923006,0.3577331759149941,0.6422668240850059,0.8071209620372554,0.09030888941287432,0.028531006838009906,0.04409337420419712,0.029945767507663288,0.2601196761703625,0.04470256951777543,0.3125659978880676,0.03555086237240408,0.17845828933474128
8253,"Census Tract 108, San Francisco County, California",4860,2209,0,2129,375,6,75,10800,1779.0,102243.0,2466,614,1852,4860,4153,290,99,204,114,2967,474,279,619,67,1003,2018,06075010800,0.4545267489711934,0.0,0.4380658436213992,0.07716049382716049,0.2489862124898621,0.7510137875101379,0.8545267489711934,0.059670781893004114,0.02037037037037037,0.04197530864197531,0.02345679012345679,0.1597573306370071,0.09403437815975732,0.2086282440175261,0.022581732389619143,0.3380519042804179
8254,"Census Tract 331, San Francisco County, California",3861,1433,16,1967,217,6,75,33100,3313.0,114783.0,1416,1177,239,3830,3522,246,27,13,22,1961,1154,170,301,32,62,2018,06075033100,0.3711473711473712,0.004144004144004143,0.5094535094535094,0.056203056203056205,0.8312146892655368,0.1687853107344633,0.9195822454308094,0.06422976501305483,0.007049608355091384,0.0033942558746736288,0.005744125326370757,0.5884752677205507,0.08669046404895461,0.1534931157572667,0.01631820499745028,0.03161652218255992
8255,"Census Tract 402, San Francisco County, California",5541,3174,0,1785,416,6,75,40200,1891.0,105507.0,2319,970,1349,5506,5106,241,90,18,51,3165,1385,120,990,190,232,2018,06075040200,0.5728207904710341,0.0,0.3221440173253925,0.07507670095650605,0.4182837429926693,0.5817162570073308,0.9273519796585544,0.04377043225572103,0.01634580457682528,0.0032691609153650564,0.009262622593534326,0.4375987361769352,0.03791469194312797,0.3127962085308057,0.06003159557661927,0.07330173775671406
8442,"Census Tract 428, San Francisco County, California",2490,1797,0,471,80,6,75,42800,2152.0,164750.0,923,704,219,2438,2262,118,17,7,34,940,524,102,104,58,20,2018,06075042800,0.7216867469879518,0.0,0.1891566265060241,0.0321285140562249,0.7627302275189599,0.2372697724810401,0.9278096800656276,0.04840032813781788,0.00697292863002461,0.002871205906480722,0.01394585726004922,0.5574468085106383,0.10851063829787234,0.11063829787234042,0.061702127659574474,0.02127659574468085
8443,"Census Tract 234, San Francisco County, California",3663,134,732,724,1563,6,75,23400,668.0,41724.0,968,498,470,3648,3525,91,12,0,20,1792,700,170,588,18,105,2018,06075023400,0.03658203658203658,0.19983619983619985,0.1976521976521977,0.4266994266994267,0.5144628099173554,0.4855371900826446,0.966282894736842,0.02494517543859649,0.003289473684210526,0.0,0.005482456140350878,0.390625,0.09486607142857142,0.328125,0.010044642857142858,0.05859375
8444,"Census Tract 165, San Francisco County, California",5487,3647,373,603,517,6,75,16500,1865.0,132750.0,2252,621,1631,5395,4239,588,195,373,0,3452,775,181,1233,278,394,2018,06075016500,0.6646619281939129,0.06797885912156006,0.10989611809732094,0.09422270821942774,0.2757548845470693,0.7242451154529307,0.7857275254865617,0.10898980537534754,0.03614457831325301,0.06913809082483781,0.0,0.2245075318655852,0.052433371958285055,0.3571842410196987,0.08053302433371959,0.11413673232908457
8445,"Census Tract 307, San Francisco County, California",7022,3586,272,1835,779,6,75,30700,3219.0,146618.0,2684,2180,504,6943,6091,630,88,50,84,3541,2101,258,748,51,98,2018,06075030700,0.5106807177442324,0.03873540301908288,0.2613215608088864,0.11093705497009397,0.8122205663189269,0.18777943368107305,0.8772864755869221,0.09073887368572664,0.012674636324355466,0.0072014979115656045,0.01209851649143022,0.5933352160406665,0.07286077379271393,0.211239762778876,0.014402711098559728,0.027675797797232417
8446,"Census Tract 351, San Francisco County, California",9053,2890,133,4546,613,6,75,35100,1985.0,121156.0,2855,1598,1257,8990,8185,426,155,29,195,4804,2240,534,1182,191,42,2018,06075035100,0.3192311940793107,0.014691262564895616,0.5021539821053794,0.06771236054346626,0.5597197898423818,0.4402802101576182,0.9104560622914348,0.04738598442714127,0.017241379310344827,0.0032258064516129032,0.021690767519466074,0.466278101582015,0.11115736885928393,0.24604496253122402,0.039758534554537886,0.008742714404662781
8447,"Census Tract 130, San Francisco County, California",4863,4074,0,420,175,6,75,13000,2169.0,161397.0,2535,512,2023,4771,4058,452,188,73,0,3622,992,387,1179,57,294,2018,06075013000,0.8377544725478101,0.0,0.0863664404688464,0.035986016862019334,0.2019723865877712,0.7980276134122288,0.8505554391112974,0.09473904841752254,0.03940473695242088,0.015300775518759168,0.0,0.2738818332413032,0.10684704583103258,0.3255107675317504,0.015737161789066815,0.0811706239646604
8448,"Census Tract 260.02, San Francisco County, California",3527,780,190,1453,940,6,75,26002,2145.0,100000.0,976,772,204,3493,3185,137,71,84,16,1943,822,179,793,66,11,2018,06075026002,0.2211511199319535,0.05387014459880919,0.4119648426424724,0.2665154522256876,0.7909836065573771,0.20901639344262296,0.9118236472945892,0.03922129974234183,0.020326367019753797,0.02404809619238477,0.004580589750930432,0.42305712815234175,0.092125579001544,0.4081317550180134,0.03396809058157488,0.005661348430262481
8449,"Census Tract 264.02, San Francisco County, California",5164,432,422,2361,1708,6,75,26402,2380.0,82010.0,1214,810,404,5016,4218,641,79,4,74,2734,1470,323,771,0,11,2018,06075026402,0.08365608055770721,0.08171959721146398,0.4572037180480248,0.3307513555383424,0.6672158154859967,0.3327841845140033,0.8409090909090909,0.12779106858054226,0.015749601275917062,0.0007974481658692185,0.01475279106858054,0.5376737381126554,0.11814191660570593,0.28200438917337234,0.0,0.004023408924652524
8450,"Census Tract 303.01, San Francisco County, California",5663,2318,118,2418,370,6,75,30301,2149.0,141125.0,2291,1310,981,5582,4829,354,187,95,117,3137,1157,449,900,146,160,2018,06075030301,0.4093236800282536,0.020837012184354586,0.42698216493024893,0.06533639413738301,0.5718027062418158,0.4281972937581842,0.8651021139376568,0.06341812970261555,0.03350053744177714,0.017018989609458975,0.02096022930849158,0.3688237169270003,0.14313037934332165,0.2868983104877271,0.04654128147912018,0.05100414408670705
