APN_old,APN,address,project_name,jurisdiction_id,unit,tenure,vli_dr_entitle,vli_ndr_entitle,li_dr_entitle,li_ndr_entitle,mi_dr_entitle,mi_ndr_entitle,ami_entitle,date_entitle,units_entitle,vli_dr_permit,vli_ndr_permit,li_dr_permit,li_ndr_permit,mi_dr_permit,mi_ndr_permit,ami_permit,date_permit,units_permit,vli_dr_occcert,vli_ndr_occcert,li_dr_occcert,li_ndr_occcert,mi_dr_occcert,mi_ndr_occcert,ami_occcert,date_occcert,units_occcert,ELI_units,SB35,infill,asst_prog,dr_type,lcl_determ,dr_afford_term,demoed_units,demoed_type,demoed_tenure,notes
,020 010600704,1245 23RD AVE,Camino 23,B1704384,5+,R,0,0,0,0,0,0,0,,0,36,0,0,0,0,1,0,2018-06-14 00:00:00,37,0,0,0,0,0,0,0,,0,9.0,N,Y,"AHSC, IIG, HOPWA, PBS8, Other",,Exempt manager's unit affordable to moderate-income household because (1) exempt unit will be free to staff; (2) salary range for onsite staff well within moderate-income range.,55.0,,,,"To construct 5 story residential use building consisting of 37 residential units (all of which are to be affordable units).
Other Assistance Program: City of Oakland Measure KK Bond funds, City funds (other), County Bond Measure A1 funds."
,037 255203001,4868 CALAVERAS AVE,Redwood Hill Townhomes,B1604061,5+,R,0,0,0,0,0,0,0,,0,27,0,0,0,0,1,0,2018-03-08 00:00:00,28,0,0,0,0,0,0,0,,0,8.0,N,Y,"HOME, LIHTC, IIG, PBS8",,Exempt manager's unit affordable to moderate-income household because (1) exempt unit will be free to staff; (2) salary range for onsite staff well within moderate-income range.,55.0,,,,Other Assistance Program: City funds
,047 550904100,10500 INTERNATIONAL BLVD,,B1801277,5+,R,0,0,0,0,0,0,0,,0,33,0,288,0,0,0,3,2018-12-05 00:00:00,324,0,0,0,0,0,0,0,,0,,N,Y,LIHTC,,,55.0,,,,"Because the City of Oakland did not fund this project, our information about other funding sources & affordability levels is limited."
,020 010600100,2227 INTERNATIONAL BLVD,Ancora Place,PLN18381,5+,R,54,0,22,0,0,1,0,2018-09-18 00:00:00,77,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,31.0,N,Y,"LIHTC, AHP, MHP, Other, PBS8",,,55.0,,,,"The project development includes 77 affordable apartment units. The project will be 100% affordable.
Other Assistance Program: City of Oakland Measure KK bond funds. Committed in 2019: Alameda County measure A1 funds. Not yet committed: LIHTC, AHP, MHP, PBV."
,018 046500220,1 9TH AVE,"Brooklyn Basin, Parcel F",PUD06010-PUDF06,5+,R,124,0,85,0,0,2,0,2018-03-26 00:00:00,211,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,N,Y,"LIHTC, AHP, PBS8, Other",,Exempt manager's unit affordable to moderate-income household because (1) exempt unit will be free to staff; (2) salary range for onsite staff well within moderate-income range.,55.0,,,,"Paseo Estero (B1802633) and Vista Estero (B1802635) are both included under this entitlement.
Other Assistance Program: City Funds
"
,018 046500220,101 10TH AVE,Paseo Estero,B1802633,5+,R,0,0,0,0,0,0,0,,0,46,0,54,0,0,1,0,2018-12-20 00:00:00,101,0,0,0,0,0,0,0,,0,15.0,N,Y,"LIHTC, AHP, PBS8, Other",,Exempt manager's unit affordable to moderate-income household because (1) exempt unit will be free to staff; (2) salary range for onsite staff well within moderate-income range.,55.0,,,,"New 6 story 101 unit Family Housing project at Brooklyn Basin parcel F.
Other Assistance Program: City Funds"
,018 046500220,101 10TH AVE,Vista Estero,B1802635,5+,R,0,0,0,0,0,0,0,,0,78,0,31,0,0,1,0,2018-12-20 00:00:00,110,0,0,0,0,0,0,0,,0,11.0,N,Y,"LIHTC, AHP, PBS8, Other",,Exempt manager's unit affordable to moderate-income household because (1) exempt unit will be free to staff; (2) salary range for onsite staff well within moderate-income range.,55.0,,,,"New 6 story 110 unit Senior Housing project at Brooklyn Basin parcel F.
Other Assistance Program: City Funds"
,019 002701400,101 E 12TH ST,Lakehouse Commons,PLN16128,5+,R,43,0,47,0,0,0,271,2018-05-23 00:00:00,361,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,29.0,N,Y,"LIHTC, AHSC, PBS8, Other",,,55.0,,,,"Major Project @ E12th St & Lake Merritt Blvd (Lakehouse Commons). 2 residential buildings w/ 361 units inc. affordable units, 218 parking stalls, commercial space, cultural commons facility.
Other Assistance Program: City Funds, CalHFA
PBS8 application still pending."
,009 072200700,3268 SAN PABLO AVE,,B1803759,5+,R,0,0,0,0,0,0,0,,0,31,0,19,0,0,1,0,2018-10-03 00:00:00,51,0,0,0,0,0,0,0,,0,13.0,N,Y,"LIHTC, AHSC, Other, HOME, IIG, PBS8",,"Manager's units are typically rent-free, and manager's pay ranges are well within the moderate-income range.",55.0,,,,"Other Assistance Program: Alameda County A1 Bond funds, City of Oakland Measure KK bond funds."
,033 219701900,0 35TH AVE,Fruitvale Transit Village II-B,PUD08186-PUDF02,5+,R,50,0,130,0,0,1,0,2018-11-28 00:00:00,181,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,46.0,N,Y,"LIHTC, AHSC, IIG, MHP, AHP",,Exempt manager's unit affordable to moderate-income household because (1) exempt unit will be free to staff; (2) salary range for onsite staff well within moderate-income range.,55.0,,,,"Final PUD for Phase II-B of the Fruitvale Transit Village. The proposal includes 181 affordable apartment units.
Other Assistance Program: City of Oakland Measure KK Bond funds, City funds (other).
Pending as of 12/31/2018: County Bond Measure A1 funds, LIHTC, AHSC, IIG, MHP, AHP. Deed restriction to be executed upon loan closing."
,012 096500100,657 W MACARTHUR BLVD,,PLN16130-R01,5+,R,43,0,0,0,0,1,0,2018-01-16 00:00:00,44,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,43.0,N,Y,"LIHTC, HOME, PBS8, Other",,"Manager's units are typically rent-free, and manager's pay ranges are well within the moderate-income range.",55.0,,,,"To revise a previously-approved mixed-use development and replace it with 44 Supportive Housing (100% affordable) units. PLN16130 was approved 05/03/2016 for 41 residential units.
Other Assistance Program: Alameda County Measure A1 bond funds, City of Oakland Measure KK bond funds, City of Oakland: other funds. Not yet committed: SHMHP."
,008 065902300,2126 M L KING JR WY,Embark Apartments,B1702585,5+,R,0,0,0,0,0,0,0,,0,61,0,0,0,0,1,0,2018-12-14 00:00:00,62,0,0,0,0,0,0,0,,0,31.0,N,Y,"LIHTC, PBS8, Other, AHP, VHHP",,Exempt manager's unit affordable to moderate-income household because (1) exempt unit will be free to staff; (2) salary range for onsite staff well within moderate-income range.,55.0,,,,Other Assistance Program: Alameda County A1 Bond funds.
,006 004700100,0 Pine (between 9th & Shorey) ST,Phoenix,PLN18252,5+,R,101,0,0,0,0,0,0,2018-06-19 00:00:00,101,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,50.0,N,Y,Other,,,55.0,,,,"Phase 1 of a Planned Unit Development consisting of 101 units for affordable and supportive housing. 50% of the units are dedicated to permanent supportive housing and the remaining units to households earning less than 60% AMI. 
Other Assistance Program: Alameda County Measure A-1 bond funds."
,044 496700100,9409 INTERNATIONAL BLVD,95th & International,PLN18399,5+,R,54,0,0,0,0,1,0,2018-11-07 00:00:00,55,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,14.0,N,Y,"Other, AHSC, LIHTC, HOME",,Exempt unit affordable to moderate-income household because (1) exempt unit will be free to staff; (2) salary range for onsite staff well within moderate-income range.,55.0,,,,"To construct a mixed use building consisting of 55 affordable housing units.
Other Assistance Program: County Bond Measure A1, City funds (other).
Applications for AHSC, LIHTC, HOME still pending.
Deed restriction to be executed upon loan closing."
,005 047900301,3419 SAN PABLO AVE,34th & San Pablo,PLN17112,5+,R,44,0,15,0,0,1,0,2018-04-09 00:00:00,60,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,13.0,N,Y,"PBS8, AHSC, LIHTC, AHP, Other",,Exempt manager's unit affordable to moderate-income household because (1) exempt unit will be free to staff; (2) salary range for onsite staff well within moderate-income range.,55.0,,,,"To construct a seven-story mixed-use building with 60 affordable units.
Other Assistance Program: City Funds, County Bond Measure A1 funds.
As of 12/31/18, applications pending for City funds, County Bond Measure A1, AHSC, LIHTC, and AHP.
No funds were committed as of 12/31/2018. If City, County, or State funds are committed, affordability term will be 55 years."
,009 069902301,445 30TH ST,Nova,PLN17425,5+,R,57,0,0,0,0,1,0,2018-04-10 00:00:00,58,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,56.0,N,Y,"PBS8, LIHTC",,Exempt manager's unit affordable to moderate-income household because (1) exempt unit will be free to staff; (2) salary range for onsite staff well within moderate-income range.,55.0,,,,"To create a 57 unit, 100 percent affordable residential development.
Other Assistance Program: County Bond Measure A1, City funds (other).
Application for LIHTC still pending.
Deed restriction to be executed upon loan closing"
,006 001701700,0 7TH ST,7th & Campbell,PLN16056,5+,R,59,0,19,0,0,1,0,2018-03-21 00:00:00,79,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,39.0,N,Y,"PBS8, Other, LIHTC, SHMHP",,Exempt manager's unit affordable to moderate-income household because (1) exempt unit will be free to staff; (2) salary range for onsite staff well within moderate-income range.,55.0,,,,"The project includes 79 affordable housing units.
Other Assistance Program: City of Oakland Measure KK Bond funds, County Bond Measure A1 funds.
Applications pending for LIHTC, SHMHP.
Deed restriction to be executed upon loan closing."
,039 327000100,6651 BANCROFT AVE,,B1803091,5+,R,0,0,0,0,0,0,0,,0,3,0,0,0,0,0,18,2018-12-22 00:25:32,21,0,0,0,0,0,0,0,,0,,N,Y,,DB,,55.0,,,,
,009 070304200,3300 BROADWAY,,B1803116,5+,R,0,0,0,0,0,0,0,,0,0,0,0,0,4,0,41,2018-12-22 00:25:32,45,0,0,0,0,0,0,0,,0,,N,Y,,DB,,55.0,,,,
,012 100000701,4045 BROADWAY,,B1603292,5+,O,0,0,0,0,0,0,0,,0,4,0,0,0,0,0,43,2018-08-15 00:00:00,47,0,0,0,0,0,0,0,,0,,N,Y,,DB,,55.0,,,,
,012 102501300,540 39TH ST,,B1605269,5+,R,0,0,0,0,0,0,0,,0,0,0,3,0,0,0,93,2018-02-26 00:00:00,96,0,0,0,0,0,0,0,,0,,N,Y,,DB,,55.0,,,,
,008 062403600,1433 WEBSTER ST,,B1803555,5+,R,0,0,0,0,0,0,0,,0,7,0,0,0,0,0,161,2018-08-02 12:24:32,168,0,0,0,0,0,0,0,,0,,N,Y,,DB,,55.0,,,,
,014 122600902,5110 TELEGRAPH AVE,,B1603859,5+,R,0,0,0,0,0,0,0,,0,17,0,0,0,0,0,187,2018-04-30 00:00:00,204,0,0,0,0,0,0,0,,0,,N,Y,,DB,,55.0,,,,
,012 102501001,539 39TH ST,,B1605268,5+,R,0,0,0,0,0,0,0,,0,0,0,8,0,0,0,279,2018-02-26 00:00:00,287,0,0,0,0,0,0,0,,0,,N,Y,,DB,,55.0,,,,This permit application is for the construction of a mixed use development which will consist of 287 residential units.
,012 102501200,3883 TURQUOISE WY,,B1705543,5+,R,0,0,0,0,0,0,0,,0,0,0,0,0,45,0,358,2018-05-30 00:00:00,403,0,0,0,0,0,0,0,,0,,N,Y,,DB,,55.0,,,,"To construct 24 story mixed use building consisting of 12,898sf commercial ground floor space and 403 residential units (of which 45 are to be affordable units) above with 96,542sf of parking consisting of 231 parking spaces. Currently project name to be: MTV Parcel B. PLN16208"
,009 070800400,3007 TELEGRAPH AVE,,PLN17348,5+,R,2,0,0,0,0,0,43,2018-07-27 00:00:00,45,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,N,Y,,DB,,55.0,,,,"Construction of a new apartment facility with 45 units, including 2 affordable units for receiving a density bonus."
,013 109402701,4328 Martin Luther King Jr WY,,PLN17398,5+,R,5,0,0,0,0,0,52,2018-12-21 00:00:00,57,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,N,Y,,DB,,55.0,,,,To demolish existing structures and construct a new 57-unit residential building on three contiguous lots. (Project provides 5 affordable units and include density bonus and waiver for height).
,008 065101801,2044 FRANKLIN ST,,PLN17050-R01-R01,5+,R,20,0,0,0,0,0,337,2018-11-07 00:00:00,357,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,N,Y,,DB,,55.0,,,,
,002 005500100,385 14TH ST,,B1704331,5+,R,0,0,0,0,0,0,0,,0,27,0,0,0,0,0,409,2018-04-26 00:00:00,436,0,0,0,0,0,0,0,,0,,N,Y,,DB,,30.0,,,,Construction of a new 40 story Type I mixed use residential apartment complex having 436 units over a Type I podium built under B1703245. (Phrase II). Valuation of construction is included under Phrase I construction.
,005 043700503,2507 Adeline ST,,B1604013,2 to 4,R,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,3,2018-02-23 00:00:00,3,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,005 043700503,2509 Adeline ST,,B1604014,2 to 4,R,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,3,2018-02-23 00:00:00,3,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,005 043700503,2511 ADELINE ST,,B1604015,2 to 4,R,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,3,2018-02-23 00:00:00,3,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,008 066500700,2325 VALLEY ST,,PLN18283,5+,O,0,0,0,0,0,0,5,2018-10-10 00:00:00,5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,033 220100100,700 FRUITVALE AVE,,PLN17485,5+,O,0,0,0,0,0,0,6,2018-04-10 00:00:00,6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,040A342003900,7894 NEY AVE,,PLN18018,5+,R,0,0,0,0,0,0,6,2018-05-09 00:00:00,6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,005 040702102,0 18TH ST,,PLN18035,5+,R,0,0,0,0,0,0,6,2018-06-15 00:00:00,6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,028 090001500,3100 FRUITVALE AVE,,PLN18135,5+,R,0,0,0,0,0,0,6,2018-08-28 00:00:00,6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,005 042602201,2242 MAGNOLIA ST,,PLN15060,5+,R,0,0,0,0,0,0,8,2018-12-11 00:00:00,8,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,002 007300300,241 10TH ST,,PLN17128,5+,R,0,0,0,0,0,0,8,2018-10-09 00:00:00,8,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,005 046700500,3103 MYRTLE ST,,B1700723,SFD,O,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,2018-04-05 00:00:00,1,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,005 042602300,2306 MAGNOLIA ST,,PLN18164,5+,O,0,0,0,0,0,0,8,2018-07-31 00:00:00,8,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,004 009301000,1510 8TH ST,,B1700980,2 to 4,R,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,3,2018-02-23 00:00:00,3,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,001 017701300,715 MADISON ST,,B1701353,2 to 4,R,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,4,2018-03-20 00:00:00,4,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,014 121001700,5612 M L KING JR WY,,PLN18010,5+,O,0,0,0,0,0,0,9,2018-06-01 00:00:00,9,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,012 101400302,4127 M L KING JR WY,,PLN18141,5+,O,0,0,0,0,0,0,10,2018-07-03 00:00:00,10,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,007 059400800,3245 HOLLIS ST,,PLN18142,5+,R,0,0,0,0,0,0,10,2018-08-14 00:00:00,10,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,039 327501700,6601 FOOTHILL BLVD,,PLN18286,5+,R,0,0,0,0,0,0,10,2018-10-23 00:00:00,10,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,013 116000300,4615 shattuck,,PLN15183,5+,R,0,0,0,0,0,0,11,2018-03-06 00:00:00,11,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,032 207901800,4134 FOOTHILL BLVD,,PLN18089,5+,R,0,0,0,0,0,0,12,2018-12-26 00:00:00,12,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
