APN_old,APN,address,project_name,jurisdiction_id,unit,tenure,date_submit,vli_dr,vli_ndr,li_dr,li_ndr,mi_dr,mi_ndr,ami,proposed,approved,disapproved,SB35,notes
,040 339600500,7525 MACARTHUR BLVD,MacArthur Blvd Residental and Commercial Plaza,PLN18409,5+,R,2018-11-09 00:00:00,0,0,0,0,19,0,0,19,0,19,No,"The project development includes the construction of a five-story mixed use building with 19 affordable apartment units on the upper floors. The project will be 100% affordable and allowed by density bonuses.
"
,018 046500204,101 10TH AVE,,PUDF12,5+,R,2018-12-19 00:00:00,0,0,254,0,0,0,0,254,0,254,No,Related to PUD06010 - Brooklyn Basin - Parcel A.  Construction of a six-story 254 residential unit building. Project will contain two phases. Phase A: Construct 130 units Phase B: Construct 124 units. Project is a 100% affordable housing development.
,004 007100300,"0 7TH ST, Oakland, CA 94607",,PLN18490,5+,R,2018-12-16 00:00:00,130,0,110,0,0,0,522,762,0,762,No,West Oakland Bart/ the Mandela Station Project 
,033 219701900,0 35TH AVE,Fruitvale Transit Village - Phase II-B,PUD08186-PUDF02,5+,R,2018-11-05 00:00:00,75,0,104,0,0,2,0,181,181,0,No,Frutivale Transit Village - Phase II-B
,020 010600100,2227 INTERNATIONAL BLVD,Ancora Place,PLN18381,5+,R,2018-10-18 00:00:00,0,0,76,0,0,1,0,77,77,0,No,The project development includes 77 affordable apartment units.
,006 004700100,0 Pine (between 9th & Shorey) ST,,PLN18252,5+,R,2018-07-19 00:00:00,101,0,0,0,0,0,0,101,101,0,No,"To construct a five-story mixed-use facility containing regular and supporting housing units, office and light manufacturing units on a vacant parcel."
,044 496700100,9409 INTERNATIONAL BLVD,95th & International,PLN18399,5+,R,2018-10-31 00:00:00,54,0,0,0,0,1,0,55,55,0,No,"To construct a four-story mixed use building consisting of 55 affordable housing units with 2,400 square feet of ground floor retail area."
,008 065101801,2044 FRANKLIN ST,,PLN17050-R01-R01,5+,R,2018-07-28 00:00:00,20,0,0,0,0,0,337,357,357,0,No,"PLN17050 was approved on 1/10/18 for 184 market rate dwelling units. PLN17050-R01-R01 was approved 11/7/18 for 357 units of which 20 are for VLI units.
"
,008 065600100,"88 GRAND AVE, OAKLAND, CA",,PLN18406,5+,O,2018-11-07 00:00:00,14,0,0,0,0,0,261,275,0,275,No,Proposal to develop a new residential building containing 275 dwelling units above ground-level retail  located on a site that contains an existing office building. The proposal will be taking advantage of the affordable housing density bonus by including 14 very-low income units.
,027 089603602,"2443 HUMBOLDT AVE, OAKLAND, CA 94601",,PLN18326,5+,R,2018-09-05 00:00:00,2,0,0,0,0,0,20,22,0,22,No,"Scope of project includes the demolition of an existing Single Family Residence to allow for the construction of a three-story, 23 unit (includes 2 affordable units) multi-family building."
,039 327501700,6601 FOOTHILL BLVD,,PLN18286,5+,R,2018-08-08 00:00:00,0,0,0,0,0,0,10,10,10,0,No,To construct 10 senior housing units.
,014 121900700,530 52ND ST,,PLN18295,2 to 4,R,2018-08-09 00:00:00,0,0,0,0,0,0,1,1,0,1,No,
,035 238301700,1942 48TH AVE,,PLN18418,2 to 4,R,2018-11-17 00:00:00,0,0,0,0,0,0,1,1,0,1,No,
,014 121001700,5612 M L KING JR WY,,PLN18010,5+,O,2018-02-02 00:00:00,0,0,0,0,0,0,9,9,9,0,No,"To establish a new 45-foot tall 6-unit residential building to the rear of an existing street facing mixed use live/work structure, resulting in a total of 7 residential units and 2 live/work units. "
,005 042602300,2306 MAGNOLIA ST,,PLN18164,5+,O,2018-05-09 00:00:00,0,0,0,0,0,0,8,8,8,0,No,To convert an existing commercial building into one-live work unit and construction of a residential addition to include 7 units. Project results in 8 units total (1 Live Work and & 7 Residential).
,008 063800500,1900 BROADWAY,,PLN15179-R01,5+,R,2018-03-16 00:00:00,0,0,0,0,0,0,106,106,106,0,No,Revision of a proposal to construct a new 36-story building with 451 residential units (up from 345 units). 
,018 043000114,"845 EMBARCADERO, OAKLAND, CA 94606",,PLN18325,5+,R,2018-09-05 00:00:00,0,0,0,0,0,0,356,356,0,356,No,"FDP for Parcel G for 356 residential units, up to 45,957 ground-floor commercial, and 480 parking spaces."
,038 317700800,5848 FOOTHILL BLVD,,PLN18054,2 to 4,R,2018-02-23 00:00:00,0,0,0,0,0,0,3,3,3,0,No,Conversion of the ground floor of a commercial building to allow for a mix of live/work and commercial spacxes
,008 062301300,"1750 BROADWAY, OAKLAND, CA 94612",,PLN18369,5+,R,2018-10-04 00:00:00,0,0,0,0,0,0,307,307,0,307,No,
,039 327100505,6733 FOOTHILL BLVD,,PLN18030,5+,R,2018-02-15 00:00:00,0,0,0,0,0,0,200,200,0,200,No,
,003 006100603,0 19TH ST,,PLN18082,5+,R,2018-03-08 00:00:00,0,0,0,0,0,0,88,88,88,0,No,
,030 198212100,0 HIGH ST,,PLN18285,5+,R,2018-08-04 00:00:00,0,0,0,0,0,0,76,76,0,76,No,
,033 216901601,3927 WATTLING ST,,PUDF08166-R01,5+,R,2018-03-15 00:00:00,0,0,0,0,0,0,51,51,51,0,No,
,005 040603000,1842 ADELINE ST,,PLN18202,5+,R,2018-06-09 00:00:00,0,0,0,0,0,0,50,50,0,50,No,
,009 068800600,424 28TH ST,,PLN18329,5+,R,2018-09-08 00:00:00,0,0,0,0,0,0,36,36,0,36,No,
,001 020302000,514 7TH ST,,DV06464-R01,5+,R,2018-02-23 00:00:00,0,0,0,0,0,0,24,24,0,24,No,
,020 012801101,1240 1ST AVE,,PLN18395,5+,O,2018-10-25 00:00:00,0,0,0,0,0,0,24,24,0,24,No,
,008 063800500,1900 BROADWAY,,PLN15179-R02,5+,R,2018-06-06 00:00:00,0,0,0,0,0,0,19,19,0,19,No,
,036 250300800,"5091 MACARTHUR BLVD, OAKLAND, CA 94619",,PLN18096,5+,R,2018-03-16 00:00:00,0,0,0,0,0,0,18,18,0,18,No,
,038 320000501,6125 FOOTHILL BLVD,,PLN18401,5+,R,2018-11-02 00:00:00,0,0,0,0,0,0,18,18,0,18,No,
,015 130701400,5630 SAN PABLO AVE,,PLN18423,5+,R,2018-11-22 00:00:00,0,0,0,0,0,0,15,15,0,15,No,
,019 003400200,819 E 12TH ST,,PLN18260,5+,R,2018-07-25 00:00:00,0,0,0,0,0,0,13,13,0,13,No,
,032 207901800,4134 FOOTHILL BLVD,,PLN18089,5+,R,2018-03-15 00:00:00,0,0,0,0,0,0,12,12,12,0,No,
,007 059400800,3245 HOLLIS ST,,PLN18142,5+,R,2018-04-14 00:00:00,0,0,0,0,0,0,10,10,10,0,No,
,012 101400302,4127 M L KING JR WY,,PLN18141,5+,R,2018-04-14 00:00:00,0,0,0,0,0,0,10,10,10,0,No,
,008 067200701,0 VALDEZ ST,,PLN18191,5+,R,2018-05-30 00:00:00,0,0,0,0,0,0,9,9,0,9,No,
,009 073103902,3416 PIEDMONT AVE,,PLN15197-R02,5+,O,2018-11-10 00:00:00,0,0,0,0,0,0,9,9,0,9,No,
,002 000301802,1150 MARKET ST,,PLN18357,5+,R,2018-09-23 00:00:00,0,0,0,0,0,0,8,8,0,8,No,
,009 068201700,2618 M L KING JR WY,,PLN18377,SFA,O,2018-10-12 00:00:00,0,0,0,0,0,0,8,8,0,8,No,
,015 137401500,5900 SHATTUCK AVE,,PLN18280,5+,R,2018-08-01 00:00:00,0,0,0,0,0,0,8,8,0,8,No,
,015 129400100,919 STANFORD AVE,,PLN18144,5+,R,2018-04-18 00:00:00,0,0,0,0,0,0,7,7,0,7,No,
,023 039503500,3110 PARK BLVD,,PLN18038,5+,R,2018-02-21 00:00:00,0,0,0,0,0,0,7,7,0,7,No,
,005 040702102,0 18TH ST,,PLN18035,5+,R,2018-02-17 00:00:00,0,0,0,0,0,0,6,6,6,0,No,
,028 090001500,3100 FRUITVALE AVE,,PLN18135,5+,R,2018-04-11 00:00:00,0,0,0,0,0,0,6,6,6,0,No,
,040A342003900,7894 NEY AVE,,PLN18018,5+,R,2018-02-07 00:00:00,0,0,0,0,0,0,6,6,6,0,No,
,008 066500700,2325 VALLEY ST,,PLN18283,5+,O,2018-08-04 00:00:00,0,0,0,0,0,0,5,5,5,0,No,
,029 098901303,3589 COOLIDGE AVE,,PLN18113,2 to 4,R,2018-03-30 00:00:00,0,0,0,0,0,0,4,4,4,0,No,
