APN_old,APN,address,project_name,jurisdiction_id,unit,tenure,vli_dr_entitle,vli_ndr_entitle,li_dr_entitle,li_ndr_entitle,mi_dr_entitle,mi_ndr_entitle,ami_entitle,date_entitle,units_entitle,vli_dr_permit,vli_ndr_permit,li_dr_permit,li_ndr_permit,mi_dr_permit,mi_ndr_permit,ami_permit,date_permit,units_permit,vli_dr_occcert,vli_ndr_occcert,li_dr_occcert,li_ndr_occcert,mi_dr_occcert,mi_ndr_occcert,ami_occcert,date_occcert,units_occcert,ELI_units,SB35,infill,asst_prog,dr_type,lcl_determ,dr_afford_term,demoed_units,demoed_type,demoed_tenure,notes
,0814014,150 VAN NESS AV,,201406138394,5+,R,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,50,0,0,0,381,2018-09-27 16:15:17,431,,N,,Other,INC,,,,,,
,8715004,1000 03RD ST,,201408133775,5+,O,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,198,2018-11-01 00:00:00,198,,N,,,,,,,,,
,4105009,800 INDIANA ST,,201406259383 ,5+,R,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,168,2018-08-01 00:00:00,168,,N,,,,,,,,,
,8715004,110 CHANNEL *,,201408133766,5+,O,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,152,2018-11-29 00:00:00,152,,N,,,,,,,,,
,8711021,626 MISSION BAY BLVD NORTH BL,,201507272485,5+,R,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,142,0,0,0,1,2018-10-15 14:21:18,143,,N,,CDLAC,,,,,,,
,3783001,801 BRANNAN ST,,201309045886,5+,R,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,122,2018-12-07 09:18:54,122,,N,,,,,,,,,
,3751029,750 HARRISON ST,,201602230301,5+,R,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,9,0,0,0,70,2018-10-01 12:44:40,79,,N,,Other,INC,,,,,,
,3738004,255 FREMONT ST,,201406249199,5+,R,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,85,0,0,0,0,2018-11-28 12:52:02,85,,N,,CDLAC,,,,,,,
,3736190,41 TEHAMA ST,,201404304554,5+,R,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,84,2018-05-22 16:09:05,84,,N,,,,,,,,,
,3703079,1036 MISSION ST,,201406269523,5+,R,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,40,0,43,0,0,0,0,2018-10-12 15:25:43,83,,N,,CDLAC,,,,,,,
,3519064,1335 FOLSOM ST,,201406269542,5+,R,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,7,0,0,0,46,2018-10-10 13:01:35,53,,N,,Other,INC,,,,,,
,3719011,181 FREMONT ST,,201305015894,5+,O,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,74,2018-12-05 00:00:00,74,,N,,,,,,,,,
,3738018,255 FREMONT ST,,201709279756,5+,R,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,34,0,0,0,1,2018-11-30 15:32:26,35,,N,,CDLAC,,,,,,,
,4884026,2800 ARELIOUS WALKER DR,,201608296272,5+,R,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,31,0,0,0,0,2018-11-20 00:00:00,31,,N,,CDLAC,,,,,,,
