APN_old,APN,address,project_name,jurisdiction_id,unit,tenure,date_submit,vli_dr,vli_ndr,li_dr,li_ndr,mi_dr,mi_ndr,ami,proposed,approved,disapproved,SB35,notes
,3180190,11 Frida Kahlo Wy,Balboa Reservoir,2018-007883PRJ,5+,R,2018-06-01,0,0,80,0,107,0,913,1100,1100,0,No,
,3755023,1140 HARRISON ST,,2016-001738PRJ,5+,R,2018-04-27,0,0,0,0,0,0,371,371,371,0,No,
,3725090,941 MISSION ST,,2018-011363PRJ,5+,R,2018-08-17,0,0,57,0,0,0,245,302,302,0,No,
,3808004,188 HOOPER ST,,2016-001557PRJ,5+,R,2018-02-16,0,0,0,0,0,0,280,280,280,0,No,
,3725068,475 MINNA ST,,2018-016055PRJ,5+,R,2018-11-27,0,0,54,0,0,0,216,270,270,0,Yes-But no action taken,
,3703040,1068 MISSION ST,,2018-010889PRJ,5+,R,2018-10-23,0,0,254,0,0,0,0,254,254,0,Yes-Approved,
,0317009,474 OFARRELL ST,,2013.1535,5+,R,2018-10-29,0,0,28,0,0,0,148,176,176,0,No,
,8711020,691 CHINA BASIN ST,,2018-006123PRJ,5+,R,2018-04-19,0,0,0,0,0,0,152,152,152,0,No,
,0345017,361 TURK ST,,2012.1531,5+,R,2018-04-13,0,0,0,0,0,0,146,146,146,0,No,
,6973039,2340 SAN JOSE AV,,2017-012151PRJ,5+,R,2018-07-03,0,0,131,0,0,0,0,131,131,0,Yes-Approved,
,4022028,681 FLORIDA ST,,2017-014088PRJ,5+,R,2018-02-21,0,0,130,0,0,0,0,130,130,0,Yes-Approved,
,3753007,360 05TH ST,,2015-005863PRJ,5+,R,2018-05-31,0,0,18,0,0,0,109,127,127,0,No,
,4060001,888 TENNESSEE ST,,2013.0975,5+,R,2018-08-20,0,0,0,0,0,0,109,109,109,0,No,
,8901002,1 AVENUE OF THE PALMS *,,2007.0903,5+,R,2018-10-22,0,0,105,0,0,0,0,105,105,0,No,
,0345002,145 LEAVENWORTH ST,,2018-006029PRJ,5+,R,2018-04-13,0,0,0,0,0,0,98,98,98,0,No,
,3534058,1965 MARKET ST,,2018-008345PRJ,5+,R,2018-06-08,0,0,19,0,0,0,77,96,96,0,No,
,3753122,999 FOLSOM ST,,2013.0538,5+,R,2018-04-30,0,0,15,0,0,0,80,95,95,0,No,
,3591024,793 SOUTH VAN NESS AV,,2015-001360PRJ,5+,R,2018-05-15,0,0,11,0,0,0,64,75,75,0,No,
,3521055,351 12TH ST,,2018-004545PRJ,5+,R,2018-09-26,3,0,3,0,2,0,42,50,50,0,No,
,6522064,3001 24TH ST,,2017-002915PRJ,5+,R,2018-06-04,0,0,45,0,0,0,0,45,45,0,Yes-Approved,
,3542008,2140 MARKET ST,,2018-013577PRJ,5+,R,2018-12-18,3,0,0,0,0,0,30,33,33,0,No,
,3543003A,2135 MARKET ST,,2018-013451PRJ,5+,R,2018-12-14,3,0,0,0,0,0,27,30,30,0,No,
,3148001,4550 MISSION ST,,2017-015691PRJ,5+,R,2018-07-13,0,0,3,0,0,0,21,24,24,0,No,
,3726030,1088 HOWARD ST,,2017-009796PRJ,5+,O,2018-07-02,0,0,3,0,0,0,21,24,24,0,No,
,3753070,255 SHIPLEY ST,,2016-012030PRJ,5+,O,2018-11-08,0,0,3,0,0,0,21,24,24,0,No,
,3212023,352 OCEAN AV,,2017-001961PRJ,5+,O,2018-04-26,0,0,2,0,0,0,22,24,24,0,No,
,0334028,519 ELLIS ST,,2018-008501PRJ,5+,O,2018-06-08,0,0,0,0,0,0,21,21,21,0,No,
,3596099,811 VALENCIA ST,,2018-009487PRJ,5+,R,2018-11-15,0,0,0,0,0,0,19,19,19,0,No,
,5478003,3303 SAN BRUNO AV,,2016-015876PRJ,5+,R,2018-08-02,0,0,4,0,3,0,11,18,18,0,No,
,3730290,280 07TH ST,,2016-004946PRJ,5+,R,2018-09-20,0,0,2,0,0,0,15,17,17,0,No,
,1901001,3601 LAWTON ST,,2015-009053PRJ,5+,O,2018-03-06,0,0,3,0,0,0,12,15,15,0,No,
,0667020,1525 PINE ST,,2015-009955PRJ,5+,R,2018-02-08,0,0,2,0,0,0,13,15,15,0,No,
,5478003,3303 SAN BRUNO AV,,2016-015876PRJ,5+,R,2018-08-02,0,0,0,0,0,0,15,15,15,0,No,
,3610010,986 SOUTH VAN NESS AV,,2018-012918PRJ,5+,R,2018-09-14,0,0,1,0,0,0,10,11,11,0,No,
,7098004,5616 MISSION ST,,2017-013929PRJ,5+,R,2018-07-06,0,0,2,0,0,0,8,10,10,0,No,
,0809001,301 GROVE ST,,2015-015133PRJ,5+,R,2018-03-13,0,0,0,0,0,0,9,9,9,0,No,
,1103013,70 TERRA VISTA AV,,2018-015411PRJ,ADU,R,2018-11-09,0,0,0,0,0,9,0,9,9,0,No,
,6532010A,350 SAN JOSE AV,,2017-015039PRJ,5+,R,2018-04-03,0,0,0,0,0,0,8,8,8,0,No,
,5843008,900 ELLSWORTH ST,,2018-016226PRL,5+,R,2018-11-27,0,0,0,0,0,0,8,8,8,0,No,
