NAME,pop17,county
"Modoc County, California",9017,Modoc
"Merced County, California",267390,Merced
"Lake County, California",64095,Lake
"Mariposa County, California",17658,Mariposa
"Yuba County, California",74644,Yuba
"Contra Costa County, California",1123678,Contra Costa
"Inyo County, California",18195,Inyo
"Lassen County, California",31470,Lassen
"Stanislaus County, California",535684,Stanislaus
"Santa Barbara County, California",442996,Santa Barbara
"Sonoma County, California",500943,Sonoma
"Tehama County, California",63247,Tehama
"Imperial County, California",179957,Imperial
"Mono County, California",14058,Mono
"San Benito County, California",58671,San Benito
"Alameda County, California",1629615,Alameda
"Sacramento County, California",1495400,Sacramento
"El Dorado County, California",185015,El Dorado
"Napa County, California",141005,Napa
"San Diego County, California",3283665,San Diego
"Monterey County, California",433168,Monterey
"San Francisco County, California",864263,San Francisco
"Sierra County, California",2885,Sierra
"Tulare County, California",458809,Tulare
"Yolo County, California",212605,Yolo
"Humboldt County, California",135490,Humboldt
"Nevada County, California",98838,Nevada
"Alpine County, California",1203,Alpine
"Madera County, California",154440,Madera
"Mendocino County, California",87497,Mendocino
"Santa Cruz County, California",273263,Santa Cruz
"Trinity County, California",13037,Trinity
"Los Angeles County, California",10105722,Los Angeles
"Riverside County, California",2355002,Riverside
"San Bernardino County, California",2121220,San Bernardino
"Santa Clara County, California",1911226,Santa Clara
"Marin County, California",260814,Marin
"Placer County, California",374985,Placer
"Siskiyou County, California",43530,Siskiyou
"Shasta County, California",178919,Shasta
"Solano County, California",434981,Solano
"Del Norte County, California",27442,Del Norte
"Colusa County, California",21479,Colusa
"Glenn County, California",27935,Glenn
"Butte County, California",225207,Butte
"Kings County, California",150183,Kings
"Plumas County, California",18724,Plumas
"San Luis Obispo County, California",280119,San Luis Obispo
"Fresno County, California",971616,Fresno
"Kern County, California",878744,Kern
"Orange County, California",3155816,Orange
"Ventura County, California",847834,Ventura
"Calaveras County, California",45057,Calaveras
"Sutter County, California",95583,Sutter
"San Mateo County, California",763450,San Mateo
"Tuolumne County, California",53899,Tuolumne
"San Joaquin County, California",724153,San Joaquin
"Amador County, California",37306,Amador
